input_condition,category,n,mean_iou,median_iou,acc_025,acc_050
single_frame_recon,cabinet,4,0.0,0.0,0.0,0.0
single_frame_recon,chair,3,0.28522026337545464,0.32923811632168865,0.6666666666666666,0.3333333333333333
single_frame_recon,curtain,6,0.12401908358113027,0.01460078359537962,0.3333333333333333,0.0
single_frame_recon,desk,6,0.22769510636161694,0.07378741073560462,0.3333333333333333,0.16666666666666666
single_frame_recon,door,2,0.0,0.0,0.0,0.0
single_frame_recon,picture,1,0.0,0.0,0.0,0.0
single_frame_recon,sink,2,0.030873870039124722,0.030873870039124722,0.0,0.0
single_frame_recon,table,2,0.0,0.0,0.0,0.0
single_frame_recon,window,4,0.17581173342000928,0.127272493606256,0.5,0.0
multi_frame_recon,cabinet,4,0.0,0.0,0.0,0.0
multi_frame_recon,chair,3,0.3453869718407856,0.41564099447734343,0.6666666666666666,0.3333333333333333
multi_frame_recon,curtain,6,0.07943023208886704,0.05646378880529791,0.16666666666666666,0.0
multi_frame_recon,desk,6,0.29058978179895467,0.16812316764568577,0.5,0.3333333333333333
multi_frame_recon,door,2,0.0008229130923942572,0.0008229130923942572,0.0,0.0
multi_frame_recon,picture,1,0.0,0.0,0.0,0.0
multi_frame_recon,sink,2,0.05186153930297207,0.05186153930297207,0.0,0.0
multi_frame_recon,table,2,0.0,0.0,0.0,0.0
multi_frame_recon,window,4,0.14361677214497398,0.02332481931518518,0.25,0.25
scannet_pose_crop,cabinet,4,0.40126302547571624,0.36988149329907777,0.5,0.5
scannet_pose_crop,chair,3,0.22598750227301734,0.0,0.3333333333333333,0.3333333333333333
scannet_pose_crop,curtain,6,0.061143898975399284,0.0,0.16666666666666666,0.0
scannet_pose_crop,desk,6,0.32506869250626963,0.2588557552691293,0.5,0.3333333333333333
scannet_pose_crop,door,2,0.006142939130557823,0.006142939130557823,0.0,0.0
scannet_pose_crop,picture,1,0.0,0.0,0.0,0.0
scannet_pose_crop,sink,2,0.37197729059508944,0.37197729059508944,0.5,0.5
scannet_pose_crop,table,2,0.01730103353364696,0.01730103353364696,0.0,0.0
scannet_pose_crop,window,4,0.0,0.0,0.0,0.0
scannet_full,cabinet,4,0.440051083112877,0.38377991359931785,0.75,0.25
scannet_full,chair,3,0.685327671234055,0.6966862045324705,1.0,1.0
scannet_full,curtain,6,0.42378713186865397,0.46026652075183183,1.0,0.16666666666666666
scannet_full,desk,6,0.7533263056995212,0.7887306325288417,1.0,1.0
scannet_full,door,2,0.5640052498940953,0.5640052498940953,1.0,1.0
scannet_full,picture,1,0.04483218032423922,0.04483218032423922,0.0,0.0
scannet_full,sink,2,0.5717699885386167,0.5717699885386167,1.0,1.0
scannet_full,table,2,0.6307208769577939,0.6307208769577939,1.0,1.0
scannet_full,window,4,0.5678236595794439,0.5832732361348822,1.0,0.75
