case_id,scene_id,target_id,category,visible_frames,rgb_frame_id,figure,cg_iou,single_iou,multi_iou,pose_crop_iou,full_scene_iou
Q01,scene0451_00,72,picture,29,12,resources/qualitative/case_01_picture_scene0451_00_target72.png,0.741529,0.000000,0.000000,0.000000,0.044832
Q02,scene0451_00,32,curtain,104,153,resources/qualitative/case_02_curtain_scene0451_00_target32.png,0.659887,0.028384,0.086838,0.000000,0.490258
Q03,scene0451_00,26,curtain,78,198,resources/qualitative/case_03_curtain_scene0451_00_target26.png,0.199481,0.322686,0.266295,0.000000,0.599731
Q04,scene0451_02,23,curtain,69,29,resources/qualitative/case_04_curtain_scene0451_02_target23.png,0.054059,0.000000,0.000000,0.000000,0.262676
Q05,scene0451_02,17,table,90,215,resources/qualitative/case_05_table_scene0451_02_target17.png,0.369707,0.000000,0.000000,0.034602,0.513215
Q06,scene0451_02,4,curtain,43,46,resources/qualitative/case_06_curtain_scene0451_02_target4.png,0.519136,0.000000,0.000000,0.366863,0.484098
Q07,scene0451_04,14,curtain,41,13,resources/qualitative/case_07_curtain_scene0451_04_target14.png,0.518774,0.392226,0.097359,0.000000,0.269524
Q08,scene0451_04,22,curtain,90,115,resources/qualitative/case_08_curtain_scene0451_04_target22.png,0.294348,0.000818,0.026090,0.000000,0.436435
Q09,scene0451_04,88,cabinet,17,95,resources/qualitative/case_09_cabinet_scene0451_04_target88.png,0.458863,0.000000,0.000000,0.000000,0.495573
Q10,scene0392_01,33,window,22,23,resources/qualitative/case_10_window_scene0392_01_target33.png,0.303978,0.448702,0.014023,0.000000,0.665489
Q11,scene0392_01,42,sink,73,237,resources/qualitative/case_11_sink_scene0392_01_target42.png,0.432709,0.061748,0.103723,0.000000,0.566105
Q12,scene0392_01,20,sink,71,162,resources/qualitative/case_12_sink_scene0392_01_target20.png,0.621775,0.000000,0.000000,0.743955,0.577435
Q13,scene0114_00,6,chair,94,52,resources/qualitative/case_13_chair_scene0114_00_target6.png,0.338740,0.000000,0.105812,0.677963,0.590775
Q14,scene0114_00,5,chair,75,1,resources/qualitative/case_14_chair_scene0114_00_target5.png,0.433103,0.526423,0.514708,0.000000,0.696686
Q15,scene0114_00,9,cabinet,45,73,resources/qualitative/case_15_cabinet_scene0114_00_target9.png,0.591406,0.000000,0.000000,0.739763,0.853786
Q16,scene0114_02,1,window,59,135,resources/qualitative/case_16_window_scene0114_02_target1.png,0.177889,0.000000,0.000000,0.000000,0.350550
Q17,scene0114_02,11,window,72,99,resources/qualitative/case_17_window_scene0114_02_target11.png,0.004229,0.000000,0.032626,0.000000,0.501057
Q18,scene0114_02,19,desk,52,6,resources/qualitative/case_18_desk_scene0114_02_target19.png,0.325740,0.723490,0.688730,0.322500,0.779927
Q19,scene0614_00,33,window,12,4,resources/qualitative/case_19_window_scene0614_00_target33.png,0.071329,0.254545,0.527817,0.000000,0.754199
Q20,scene0614_00,13,desk,26,28,resources/qualitative/case_20_desk_scene0614_00_target13.png,0.461371,0.000000,0.000000,0.000000,0.895551
Q21,scene0614_00,12,cabinet,31,73,resources/qualitative/case_21_cabinet_scene0614_00_target12.png,0.362072,0.000000,0.000000,0.865289,0.271987
Q22,scene0247_00,15,door,178,416,resources/qualitative/case_22_door_scene0247_00_target15.png,0.368172,0.000000,0.000000,0.000000,0.532567
Q23,scene0247_00,40,door,23,193,resources/qualitative/case_23_door_scene0247_00_target40.png,0.512569,0.000000,0.001646,0.012286,0.595443
Q24,scene0247_00,54,table,70,233,resources/qualitative/case_24_table_scene0247_00_target54.png,0.400747,0.000000,0.000000,0.000000,0.748227
Q25,scene0040_00,8,desk,100,30,resources/qualitative/case_25_desk_scene0040_00_target8.png,0.485186,0.147575,0.336246,0.195211,0.598116
Q26,scene0040_00,9,desk,85,46,resources/qualitative/case_26_desk_scene0040_00_target9.png,0.520183,0.000000,0.000000,0.568596,0.625327
Q27,scene0040_00,45,chair,79,174,resources/qualitative/case_27_chair_scene0040_00_target45.png,0.293943,0.329238,0.415641,0.000000,0.768522
Q28,scene0040_01,14,desk,47,186,resources/qualitative/case_28_desk_scene0040_01_target14.png,0.533405,0.495106,0.718562,0.000000,0.823502
Q29,scene0040_01,12,desk,156,55,resources/qualitative/case_29_desk_scene0040_01_target12.png,0.827582,0.000000,0.000000,0.864104,0.797535
Q30,scene0040_01,40,cabinet,41,81,resources/qualitative/case_30_cabinet_scene0040_01_target40.png,0.364710,0.000000,0.000000,0.000000,0.138859
